playlist,track_id,year
Replay 2021,2953,2021
Replay 2021,3431,2021
Replay 2021,1850,2021
Replay 2021,3711,2021
Replay 2021,3977,2021
Replay 2021,1822,2021
Replay 2021,1688,2021
Replay 2021,10733,2021
Replay 2021,5207,2021
Replay 2021,2218,2021
Replay 2021,2156,2021
Replay 2021,2543,2021
Replay 2021,1366,2021
Replay 2021,4129,2021
Replay 2021,2208,2021
Replay 2021,10727,2021
Replay 2021,2955,2021
Replay 2021,2991,2021
Replay 2021,1692,2021
Replay 2021,1442,2021
Replay 2021,2130,2021
Replay 2021,1374,2021
Replay 2021,1868,2021
Replay 2021,2757,2021
Replay 2021,3127,2021
Replay 2021,5009,2021
Replay 2021,1892,2021
Replay 2021,1666,2021
Replay 2021,3339,2021
Replay 2021,2299,2021
Replay 2021,2152,2021
Replay 2021,1836,2021
Replay 2021,1888,2021
Replay 2021,3445,2021
Replay 2021,1736,2021
Replay 2021,10725,2021
Replay 2021,5021,2021
Replay 2021,1422,2021
Replay 2021,3451,2021
Replay 2021,3351,2021
Replay 2021,2291,2021
Replay 2021,2180,2021
Replay 2021,10721,2021
Replay 2021,3761,2021
Replay 2021,10719,2021
Replay 2021,10735,2021
Replay 2021,2387,2021
Replay 2021,2371,2021
Replay 2021,2271,2021
Replay 2021,1968,2021
Replay 2022,3743,2022
Replay 2022,2937,2022
Replay 2022,2921,2022
Replay 2022,1344,2022
Replay 2022,2387,2022
Replay 2022,3715,2022
Replay 2022,3975,2022
Replay 2022,1624,2022
Replay 2022,3453,2022
Replay 2022,1822,2022
Replay 2022,2271,2022
Replay 2022,3461,2022
Replay 2022,3459,2022
Replay 2022,3135,2022
Replay 2022,3121,2022
Replay 2022,2815,2022
Replay 2022,3987,2022
Replay 2022,2112,2022
Replay 2022,3119,2022
Replay 2022,1474,2022
Replay 2022,3125,2022
Replay 2022,1870,2022
Replay 2022,4009,2022
Replay 2022,4895,2022
Replay 2022,1446,2022
Replay 2022,2967,2022
Replay 2022,1534,2022
Replay 2022,3745,2022
Replay 2022,4065,2022
Replay 2022,4055,2022
Replay 2022,2885,2022
Replay 2022,2959,2022
Replay 2022,1428,2022
Replay 2022,1678,2022
Replay 2022,1640,2022
Replay 2022,1674,2022
Replay 2022,4869,2022
Replay 2022,3711,2022
Replay 2022,1346,2022
Replay 2022,1472,2022
Replay 2022,2114,2022
Replay 2022,2973,2022
Replay 2022,2377,2022
Replay 2022,5071,2022
Replay 2022,3339,2022
Replay 2022,4057,2022
Replay 2022,3981,2022
Replay 2022,3361,2022
Replay 2022,3995,2022
Replay 2022,2987,2022
Replay 2022,2975,2022
Replay 2022,2194,2022
Replay 2022,2134,2022
Replay 2022,4053,2022
Replay 2022,4981,2022
Replay 2022,2128,2022
Replay 2022,1686,2022
Replay 2022,2024,2022
Replay 2022,2162,2022
Replay 2022,3131,2022
Replay 2022,4043,2022
Replay 2022,2325,2022
Replay 2022,1676,2022
Replay 2022,4189,2022
Replay 2022,1692,2022
Replay 2022,1540,2022
Replay 2022,2190,2022
Replay 2022,2279,2022
